1	0.003
2	0.007
3	0.010
4	0.013
5	0.017
6	0.020
7	0.023
8	0.027
9	0.030
10	0.033
11	0.037
12	0.040
13	0.043
14	0.047
15	0.050
16	0.053
17	0.057
18	0.060
19	0.063
20	0.067
21	0.070
22	0.073
23	0.077
24	0.080
25	0.083
26	0.087
27	0.090
28	0.093
29	0.097
30	0.100
31	0.103
32	0.107
33	0.110
34	0.113
35	0.117
36	0.120
37	0.123
38	0.127
39	0.130
40	0.133
41	0.137
42	0.140
43	0.143
44	0.147
45	0.150
46	0.153
47	0.157
48	0.160
49	0.163
50	0.167
51	0.170
52	0.173
53	0.177
54	0.180
55	0.183
56	0.187
57	0.190
58	0.193
59	0.197
60	0.200
61	0.203
62	0.207
63	0.210
64	0.213
65	0.217
66	0.220
67	0.223
68	0.227
69	0.230
70	0.233
71	0.237
72	0.240
73	0.243
74	0.247
75	0.250
76	0.253
77	0.257
78	0.260
79	0.263
80	0.267
81	0.270
82	0.273
83	0.277
84	0.280
85	0.283
86	0.287
87	0.290
88	0.293
89	0.297
90	0.300
91	0.303
92	0.307
93	0.310
94	0.313
95	0.317
96	0.320
97	0.323
98	0.327
99	0.330
100	0.333
101	0.337
102	0.340
103	0.343
104	0.347
105	0.350
106	0.353
107	0.357
108	0.360
109	0.363
110	0.367
111	0.370
112	0.373
113	0.377
114	0.380
115	0.383
116	0.387
117	0.390
118	0.393
119	0.397
120	0.400
121	0.403
122	0.407
123	0.410
124	0.413
125	0.417
126	0.420
127	0.423
128	0.427
129	0.430
130	0.433
131	0.437
132	0.440
133	0.443
134	0.447
135	0.450
136	0.453
137	0.457
138	0.460
139	0.463
140	0.467
141	0.470
142	0.473
143	0.477
144	0.480
145	0.483
146	0.487
147	0.490
148	0.493
149	0.497
150	0.500
151	0.503
152	0.507
153	0.510
154	0.513
155	0.517
156	0.520
157	0.523
158	0.527
159	0.530
160	0.533
161	0.537
162	0.540
163	0.543
164	0.547
165	0.550
166	0.553
167	0.557
168	0.560
169	0.563
170	0.567
171	0.570
172	0.573
173	0.577
174	0.580
175	0.583
176	0.587
177	0.590
178	0.593
179	0.597
180	0.600
181	0.603
182	0.607
183	0.610
184	0.613
185	0.617
186	0.620
187	0.623
188	0.627
189	0.630
190	0.633
191	0.637
192	0.640
193	0.643
194	0.647
195	0.650
196	0.653
197	0.657
198	0.660
199	0.663
200	0.667
201	0.670
202	0.673
203	0.677
204	0.680
205	0.683
206	0.687
207	0.690
208	0.693
209	0.697
210	0.700
211	0.703
212	0.707
213	0.710
214	0.713
215	0.717
216	0.720
217	0.723
218	0.727
219	0.730
220	0.733
221	0.737
222	0.740
223	0.743
224	0.747
225	0.750
226	0.753
227	0.757
228	0.760
229	0.763
230	0.767
231	0.770
232	0.773
233	0.777
234	0.780
235	0.783
236	0.787
237	0.790
238	0.793
239	0.797
240	0.800
241	0.803
242	0.807
243	0.810
244	0.813
245	0.817
246	0.820
247	0.823
248	0.827
249	0.830
250	0.833
251	0.837
252	0.840
253	0.843
254	0.847
255	0.850
256	0.853
257	0.857
258	0.860
259	0.863
260	0.867
261	0.870
262	0.873
263	0.877
264	0.880
265	0.883
266	0.887
267	0.890
268	0.893
269	0.897
270	0.900
271	0.903
272	0.907
273	0.910
274	0.913
275	0.917
276	0.920
277	0.923
278	0.927
279	0.930
280	0.933
281	0.937
282	0.940
283	0.943
284	0.947
285	0.950
286	0.953
287	0.957
288	0.960
289	0.963
290	0.967
291	0.970
292	0.973
293	0.977
294	0.980
295	0.983
296	0.987
297	0.990
298	0.993
299	0.997
300	1.000
